Best: 0.696970 using {'batch_size': 10, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 11}
Deeper Network with 11 hidden nodes in layer 1 84.51% (2.08%) with: {'optimizer': 'adam', 'batch_size': 5, 'init': 'uniform', 'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 10, 'rate': 0, 'activation': 'sigmoid'}


PCA experiments
0.845118 using {'optimizer': 'adam', 'batch_size': 5, 'init': 'uniform', 'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 10, 'rate': 0, 'activation': 'sigmoid'}
PCA input 12 80.81% (0.82%) with: {'activation': 'sigmoid', 'optimizer': 'adam', 'batch_size': 5, 'rate': 0, 'loss': 'binary_crossentropy', 'epochs': 100, 'init': 'normal', 'nodes': 10}
PCA input dim 11 80.81% (2.18%) with: {'nodes': 10, 'batch_size': 5, 'init': 'uniform', 'loss': 'binary_crossentropy', 'optimizer': 'adam', 'epochs': 100, 'activation': 'sigmoid', 'rate': 0}
PCA input dim 10 82.15% (3.43%) with: {'loss': 'binary_crossentropy', 'rate': 0, 'batch_size': 5, 'nodes': 10, 'epochs': 100, 'optimizer': 'adam', 'activation': 'sigmoid', 'init': 'uniform'}
PCA input dim 9 81.82% (2.97%) with: {'init': 'uniform', 'rate': 0, 'loss': 'binary_crossentropy', 'batch_size': 5, 'activation': 'sigmoid', 'optimizer': 'adam', 'epochs': 100, 'nodes': 10}
PCA input dim 6 77.78% (0.00%) with: {'epochs': 100, 'activation': 'sigmoid', 'optimizer': 'adam', 'init': 'uniform', 'rate': 0, 'batch_size': 5, 'nodes': 10, 'loss': 'binary_crossentropy'}
